name,m1_solar,m2_solar,a_au,e,spin_angle_deg,radius_m
Gaia_706660388075803520,1.500000,0.798694,0.016864,0.000000,0.000000,962680659.586924
Gaia_5369705621133198336,1.500000,0.915132,0.025135,0.000000,0.000000,962680659.586924
Gaia_816234830681670016,1.500000,0.642395,0.015218,0.000000,0.000000,962680659.586924
Gaia_6462586236016466944,1.500000,0.437489,0.022695,0.000000,0.000000,962680659.586924
Gaia_5610067251048588288,2.000000,1.071516,0.023801,0.000000,0.000000,1211806384.108205
Gaia_1712831347033150976,1.500000,0.879866,0.019259,0.000000,0.000000,962680659.586924
Gaia_4553442619762151424,1.500000,1.080589,0.025823,0.000000,0.000000,962680659.586924
Gaia_5556931152602575872,1.500000,0.078752,0.032737,0.000000,0.000000,962680659.586924
Gaia_6427051046702419968,2.000000,0.558012,0.024286,0.000000,0.000000,1211806384.108205
Gaia_5592279626810866688,1.500000,0.528234,0.025062,0.000000,0.000000,962680659.586924
Gaia_3233134492895795200,1.500000,0.171112,0.012864,0.000000,0.000000,962680659.586924
Gaia_5597041882243799040,1.500000,0.498201,0.015109,0.000000,0.000000,962680659.586924
Gaia_2036129443978603008,1.500000,0.297816,0.022718,0.000000,0.000000,962680659.586924
Gaia_1793768837495368704,1.500000,0.342335,0.022150,0.000000,0.000000,962680659.586924
Gaia_1963575553568406528,1.500000,1.255739,0.033945,0.037967,0.000000,962680659.586924
Gaia_6183905457652902912,1.500000,0.164618,0.019634,0.000000,0.000000,962680659.586924
Gaia_4176619369082629632,1.500000,0.263345,0.022238,0.000000,0.000000,962680659.586924
Gaia_1960437620403451904,2.000000,1.065136,0.029900,0.000000,0.000000,1211806384.108205
Gaia_5679515459167690752,1.500000,0.090809,0.019716,0.000000,0.000000,962680659.586924
Gaia_1964749144792030720,1.500000,0.079402,0.011996,0.000000,0.000000,962680659.586924
Gaia_2243534445481073408,1.500000,0.206907,0.020295,0.000000,0.000000,962680659.586924
Gaia_5396509210654518272,2.000000,0.139329,0.016917,0.000000,0.000000,1211806384.108205
Gaia_5404817120539347968,2.000000,0.202509,0.038936,0.000000,0.000000,1211806384.108205
Gaia_4803018466344650752,1.500000,0.263333,0.019730,0.000000,0.000000,962680659.586924
Gaia_520587625832477824,1.000000,0.113690,0.033266,0.000000,0.000000,696000000.000000
Gaia_1928441930811993088,1.500000,2.230445,0.032985,0.000000,0.000000,1322276904.111257
Gaia_1823758498214886912,1.500000,0.548822,0.020077,0.000000,0.000000,962680659.586924
Gaia_5539084292182238208,1.500000,0.762535,0.022229,0.000000,0.000000,962680659.586924
Gaia_6574192507392234496,1.500000,0.347243,0.017119,0.000000,0.000000,962680659.586924
Gaia_595807900640867328,1.500000,0.298708,0.023479,0.000000,0.000000,962680659.586924
Gaia_4324609893265605632,1.500000,0.347468,0.017896,0.000000,0.000000,962680659.586924
Gaia_5605734247521217536,2.000000,1.431828,0.055675,0.000000,0.000000,1211806384.108205
Gaia_5600837636900445184,1.500000,0.709838,0.025287,0.000000,0.000000,962680659.586924
Gaia_2225525578890498560,1.500000,0.031774,0.035846,0.000000,0.000000,962680659.586924
Gaia_660701351790740736,1.500000,0.550353,0.029983,0.000000,0.000000,962680659.586924
Gaia_3368383214908355584,1.500000,1.008997,0.037263,0.000000,0.000000,962680659.586924
Gaia_2992215135718505984,1.500000,0.202479,0.013042,0.000000,0.000000,962680659.586924
Gaia_289944136822295552,2.000000,2.958583,0.021800,0.000000,0.000000,1657586615.447628
Gaia_498657664552495744,1.500000,0.499554,0.027184,0.005318,0.000000,962680659.586924
Gaia_1741773478078092800,1.500000,0.470444,0.016476,0.000000,0.000000,962680659.586924
Gaia_6584598933975146496,1.500000,0.466821,0.028711,0.000000,0.000000,962680659.586924
Gaia_5587423633706300416,1.500000,0.083612,0.036832,0.000000,0.000000,962680659.586924
Gaia_455734547374477824,1.500000,0.526507,0.016700,0.000000,0.000000,962680659.586924
Gaia_2127095300809215488,2.000000,0.626742,0.025513,0.000000,0.000000,1211806384.108205
Gaia_1987715640596407808,2.000000,0.302319,0.020914,0.000000,0.000000,1211806384.108205
Gaia_2072115497495386368,1.500000,0.573517,0.021615,0.019266,0.000000,962680659.586924
Gaia_1913844956177698560,1.500000,1.189659,0.040485,0.000000,0.000000,962680659.586924
Gaia_1748634568075728896,1.500000,0.550167,0.018581,0.000000,0.000000,962680659.586924
Gaia_5699965550810155008,1.500000,0.078232,0.037218,0.000000,0.000000,962680659.586924
Gaia_5301522813456627712,1.500000,0.489020,0.017570,0.000000,0.000000,962680659.586924
Gaia_5834757326959048704,1.500000,1.466665,0.045498,0.000000,0.000000,962680659.586924
Gaia_4575893582048929792,1.500000,0.665166,0.052506,0.004287,0.000000,962680659.586924
Gaia_5395539235240458240,1.500000,0.357802,0.019823,0.000000,0.000000,962680659.586924
Gaia_5353562389568849920,1.500000,0.039084,0.032885,0.000000,0.000000,962680659.586924
Gaia_6043623927334720512,1.500000,0.559498,0.019553,0.000000,0.000000,962680659.586924
Gaia_2210796521124612608,1.500000,0.554251,0.022099,0.000000,0.000000,962680659.586924
Gaia_5917337006758744064,1.500000,0.775712,0.019118,0.000000,0.000000,962680659.586924
Gaia_2030705072080614912,1.500000,0.249689,0.087751,0.000000,117.199236,962680659.586924
Gaia_3395636504685097472,2.000000,0.954267,0.022498,0.000000,0.000000,1211806384.108205
Gaia_5544582911170191360,1.500000,0.644028,0.030862,0.000000,0.000000,962680659.586924
Gaia_4038774283504395264,1.500000,0.268404,0.022391,0.000000,0.000000,962680659.586924
Gaia_3458918930781913600,1.500000,0.529180,0.017904,0.000000,0.000000,962680659.586924
Gaia_5858885559874758656,1.500000,0.705731,0.021132,0.000000,0.000000,962680659.586924
Gaia_475504625434213120,1.500000,0.135893,0.014295,0.000000,0.000000,962680659.586924
Gaia_5849854858561176576,1.500000,0.420410,0.018667,0.000000,0.000000,962680659.586924
Gaia_6416284083386332160,0.700000,1.529126,0.237227,0.000000,132.439297,977606145.303736
